player_key,name,week,position,team_key,team_name,started,nfl_team,points,Passing Yards,Passing Touchdowns,Interceptions,Rushing Attempts,Rushing Yards,Rushing Touchdowns,Targets,Receptions,Receiving Yards,Receiving Touchdowns,Return Touchdowns,2-Point Conversions,Fumbles Lost,Field Goals 0-19 Yards,Field Goals 20-29 Yards,Field Goals 30-39 Yards,Field Goals 40-49 Yards,Field Goals 50+ Yards,Field Goals Missed 0-19 Yards,Field Goals Missed 20-29 Yards,Point After Attempt Made,Point After Attempt Missed,Points Allowed,Sack,Interception,Fumble Recovery,Touchdown,Safety,Block Kick,Kickoff and Punt Return Touchdowns,4th Down Stops,Points Allowed 0 points,Points Allowed 1-6 points,Points Allowed 7-13 points,Points Allowed 14-20 points,Points Allowed 21-27 points,Points Allowed 28-34 points,Points Allowed 35+ points,Extra Point Returned
390.p.31002,Lamar Jackson,1,QB,390.l.99174.t.1,Professor Teabag,True,Bal,29.86,324.0,5.0,0.0,3.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
390.p.25812,Kirk Cousins,1,QB,390.l.99174.t.1,Professor Teabag,True,Min,13.2,98.0,1.0,0.0,6.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
390.p.26650,DeAndre Hopkins,1,WR,390.l.99174.t.1,Professor Teabag,True,Ari,29.1,0.0,0.0,0.0,0.0,0.0,0.0,13.0,8.0,111.0,2.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
390.p.24793,Julio Jones,1,WR,390.l.99174.t.1,Professor Teabag,True,Atl,12.1,0.0,0.0,0.0,0.0,0.0,0.0,11.0,6.0,31.0,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
390.p.27589,Allen Robinson II,1,WR,390.l.99174.t.1,Professor Teabag,True,Chi,15.7,0.0,0.0,0.0,0.0,0.0,0.0,13.0,7.0,102.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
390.p.27631,Devonta Freeman,1,RB,390.l.99174.t.1,Professor Teabag,True,Atl,1.6,0.0,0.0,0.0,8.0,19.0,0.0,4.0,3.0,12.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
390.p.30362,Chris Carson,1,RB,390.l.99174.t.1,Professor Teabag,True,Sea,20.0,0.0,0.0,0.0,15.0,46.0,1.0,7.0,6.0,34.0,1.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
390.p.29269,Hunter Henry,1,TE,390.l.99174.t.1,Professor Teabag,True,LAC,8.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,4.0,60.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
390.p.24815,Mark Ingram II,1,RB,390.l.99174.t.1,Professor Teabag,True,Bal,24.7,0.0,0.0,0.0,14.0,107.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
390.p.24791,A.J. Green,1,WR,390.l.99174.t.1,Professor Teabag,False,Cin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
390.p.6763,Philip Rivers,1,QB,390.l.99174.t.1,Professor Teabag,False,Ind,20.11,333.0,3.0,1.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
390.p.31104,Chase Edmonds,1,RB,390.l.99174.t.1,Professor Teabag,False,Ari,0.5,0.0,0.0,0.0,1.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
390.p.31221,Justin Jackson,1,RB,390.l.99174.t.1,Professor Teabag,False,LAC,6.6,0.0,0.0,0.0,6.0,57.0,0.0,3.0,1.0,4.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
390.p.28493,Jamison Crowder,1,WR,390.l.99174.t.1,Professor Teabag,False,NYJ,17.3,0.0,0.0,0.0,1.0,4.0,0.0,17.0,14.0,99.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
390.p.25881,Greg Zuerlein,1,K,390.l.99174.t.1,Professor Teabag,True,Dal,15.0,,,,,,,,,,,,,,0.0,1.0,0.0,1.0,1.0,0.0,0.0,3.0,0.0,,,,,,,,,,,,,,,,,
